payment_id,customer_id,amount,currency,status,method,bank,failure_reason,error_code,created_at,retry_count,due_date
pay_001,cust_ravi_01,4500.00,INR,failed,upi,HDFC,insufficient_funds,E1001,2026-08-01T09:15:00+00:00,1,2026-09-04
pay_002,cust_ravi_01,2200.00,INR,failed,upi,HDFC,invalid_pin,E1002,2026-08-10T14:30:00+00:00,2,2026-09-04
pay_003,cust_ravi_01,3800.00,INR,failed,credit_card,ICICI,network_timeout,E1003,2026-08-20T11:45:00+00:00,1,2026-09-04
pay_004,cust_ravi_01,1500.00,INR,failed,upi,HDFC,bank_down,E1004,2026-09-01T08:00:00+00:00,3,2026-09-04
pay_005,cust_priya_02,8900.00,INR,failed,net_banking,SBI,insufficient_funds,E1005,2026-08-05T10:00:00+00:00,1,2026-09-04
pay_006,cust_priya_02,5600.00,INR,failed,credit_card,ICICI,limit_exceeded,E1006,2026-08-15T16:20:00+00:00,0,2026-09-04
pay_007,cust_priya_02,1200.00,INR,failed,upi,HDFC,expired_card,E1007,2026-09-01T09:30:00+00:00,2,2026-09-04
pay_008,cust_rahul_03,3400.00,INR,failed,debit_card,Axis,network_timeout,E1008,2026-08-12T13:00:00+00:00,1,2026-09-04
pay_009,cust_rahul_03,7800.00,INR,failed,upi,Kotak,insufficient_funds,E1009,2026-08-22T15:45:00+00:00,2,2026-09-04
pay_010,cust_rahul_03,2100.00,INR,failed,net_banking,Yes,invalid_pin,E1010,2026-09-02T10:15:00+00:00,0,2026-09-04
pay_011,cust_anita_04,15000.00,INR,failed,credit_card,HDFC,bank_down,E1011,2026-08-03T08:30:00+00:00,1,2026-09-04
pay_012,cust_anita_04,9500.00,INR,failed,net_banking,ICICI,insufficient_funds,E1012,2026-08-18T12:00:00+00:00,3,2026-09-04
pay_013,cust_anita_04,6700.00,INR,failed,upi,SBI,limit_exceeded,E1013,2026-09-01T14:30:00+00:00,0,2026-09-04
pay_014,cust_vikram_05,2800.00,INR,failed,debit_card,Axis,expired_card,E1014,2026-08-08T09:00:00+00:00,1,2026-09-04
pay_015,cust_vikram_05,4200.00,INR,failed,upi,Kotak,network_timeout,E1015,2026-08-25T11:30:00+00:00,2,2026-09-04
pay_016,cust_sneha_06,1800.00,INR,failed,credit_card,HDFC,insufficient_funds,E1016,2026-08-07T10:45:00+00:00,1,2026-09-04
pay_017,cust_sneha_06,3200.00,INR,failed,upi,ICICI,invalid_pin,E1017,2026-08-19T15:00:00+00:00,0,2026-09-04
pay_018,cust_sneha_06,5500.00,INR,failed,net_banking,SBI,bank_down,E1018,2026-09-02T08:15:00+00:00,2,2026-09-04
pay_019,cust_amit_07,12000.00,INR,failed,credit_card,HDFC,limit_exceeded,E1019,2026-08-06T14:00:00+00:00,1,2026-09-04
pay_020,cust_amit_07,7500.00,INR,failed,upi,ICICI,insufficient_funds,E1020,2026-08-21T09:30:00+00:00,3,2026-09-04
pay_021,cust_amit_07,4800.00,INR,failed,debit_card,SBI,network_timeout,E1021,2026-09-03T11:00:00+00:00,0,2026-09-04
pay_022,cust_meena_08,2500.00,INR,failed,upi,Axis,expired_card,E1022,2026-08-11T10:30:00+00:00,1,2026-09-04
pay_023,cust_meena_08,6100.00,INR,failed,credit_card,Kotak,invalid_pin,E1023,2026-08-28T13:15:00+00:00,2,2026-09-04
pay_024,cust_suresh_09,8200.00,INR,failed,net_banking,Yes,insufficient_funds,E1024,2026-08-04T08:45:00+00:00,1,2026-09-04
pay_025,cust_suresh_09,3600.00,INR,failed,upi,HDFC,bank_down,E1025,2026-08-16T16:00:00+00:00,0,2026-09-04
pay_026,cust_pooja_10,1900.00,INR,failed,debit_card,ICICI,limit_exceeded,E1026,2026-08-09T09:15:00+00:00,2,2026-09-04
pay_027,cust_pooja_10,4400.00,INR,failed,credit_card,SBI,network_timeout,E1027,2026-08-23T14:45:00+00:00,1,2026-09-04
pay_028,cust_pooja_10,7200.00,INR,failed,upi,Axis,insufficient_funds,E1028,2026-09-01T10:00:00+00:00,3,2026-09-04
pay_029,cust_deepak_11,5800.00,INR,failed,net_banking,Kotak,expired_card,E1029,2026-08-14T11:30:00+00:00,0,2026-09-04
pay_030,cust_deepak_11,2700.00,INR,failed,upi,Yes,invalid_pin,E1030,2026-09-02T15:30:00+00:00,1,2026-09-04
