payment_id,customer_id,amount,currency,status,method,bank,failure_reason,error_code,created_at,retry_count,due_date
pay_1001,cust_001,12500,INR,charged,upi,HDFC,,,2026-08-01T09:15:00,0,2026-08-01
pay_1002,cust_002,4800,INR,charged,credit_card,ICICI,,,2026-08-01T10:20:00,0,2026-08-01
pay_1003,cust_003,22000,INR,failed,upi,SBI,insufficient_funds,IF_001,2026-08-01T11:05:00,0,2026-08-05
pay_1004,cust_004,7500,INR,charged,debit_card,Axis,,,2026-08-01T12:10:00,0,2026-08-01
pay_1005,cust_005,18500,INR,failed,net_banking,Kotak,network_timeout,NT_001,2026-08-01T13:30:00,0,2026-08-05
pay_1006,cust_006,3200,INR,charged,upi,Yes,,,2026-08-01T14:15:00,0,2026-08-01
pay_1007,cust_007,42000,INR,failed,credit_card,HDFC,limit_exceeded,LE_001,2026-08-02T09:10:00,0,2026-08-06
pay_1008,cust_008,6800,INR,charged,upi,ICICI,,,2026-08-02T10:25:00,0,2026-08-02
pay_1009,cust_009,15600,INR,failed,debit_card,SBI,invalid_pin,IP_001,2026-08-02T11:40:00,0,2026-08-06
pay_1010,cust_010,9100,INR,charged,net_banking,Axis,,,2026-08-02T12:50:00,0,2026-08-02
pay_1011,cust_001,8200,INR,charged,upi,HDFC,,,2026-08-03T09:20:00,0,2026-08-03
pay_1012,cust_002,5300,INR,failed,credit_card,ICICI,expired_card,EC_001,2026-08-03T10:35:00,0,2026-08-07
pay_1013,cust_003,19800,INR,charged,upi,SBI,,,2026-08-03T11:15:00,0,2026-08-03
pay_1014,cust_004,6100,INR,failed,debit_card,Axis,insufficient_funds,IF_002,2026-08-03T12:25:00,0,2026-08-07
pay_1015,cust_005,21000,INR,charged,net_banking,Kotak,,,2026-08-03T13:40:00,0,2026-08-03
pay_1016,cust_006,3600,INR,failed,upi,Yes,bank_down,BD_001,2026-08-03T14:30:00,0,2026-08-07
pay_1017,cust_007,38500,INR,charged,credit_card,HDFC,,,2026-08-04T09:05:00,0,2026-08-04
pay_1018,cust_008,7200,INR,failed,upi,ICICI,network_timeout,NT_002,2026-08-04T10:15:00,0,2026-08-08
pay_1019,cust_009,14300,INR,charged,debit_card,SBI,,,2026-08-04T11:30:00,0,2026-08-04
pay_1020,cust_010,9800,INR,failed,net_banking,Axis,insufficient_funds,IF_003,2026-08-04T12:45:00,0,2026-08-08
pay_1021,cust_001,11800,INR,failed,upi,HDFC,network_timeout,NT_003,2026-08-05T09:25:00,1,2026-08-09
pay_1022,cust_002,6100,INR,charged,credit_card,ICICI,,,2026-08-05T10:40:00,0,2026-08-05
pay_1023,cust_003,23500,INR,failed,upi,SBI,limit_exceeded,LE_002,2026-08-05T11:55:00,1,2026-08-10
pay_1024,cust_004,6900,INR,charged,debit_card,Axis,,,2026-08-05T13:05:00,0,2026-08-05
pay_1025,cust_005,17500,INR,failed,net_banking,Kotak,bank_down,BD_002,2026-08-06T09:35:00,1,2026-08-10
pay_1026,cust_006,4100,INR,charged,upi,Yes,,,2026-08-06T10:50:00,0,2026-08-06
pay_1027,cust_007,45000,INR,failed,credit_card,HDFC,limit_exceeded,LE_003,2026-08-06T12:05:00,1,2026-08-11
pay_1028,cust_008,7600,INR,charged,upi,ICICI,,,2026-08-06T13:20:00,0,2026-08-06
pay_1029,cust_009,16200,INR,failed,debit_card,SBI,expired_card,EC_002,2026-08-07T10:10:00,1,2026-08-11
pay_1030,cust_010,10500,INR,charged,net_banking,Axis,,,2026-08-07T11:25:00,0,2026-08-07
pay_1031,cust_001,13200,INR,charged,upi,HDFC,,,2026-08-08T09:45:00,0,2026-08-08
pay_1032,cust_003,24100,INR,charged,upi,SBI,,,2026-08-08T10:55:00,0,2026-08-08
pay_1033,cust_005,19200,INR,charged,net_banking,Kotak,,,2026-08-08T12:15:00,0,2026-08-08
pay_1034,cust_007,41000,INR,failed,credit_card,HDFC,insufficient_funds,IF_004,2026-08-09T09:30:00,1,2026-08-13
pay_1035,cust_008,8100,INR,failed,upi,ICICI,bank_down,BD_003,2026-08-09T10:45:00,1,2026-08-13
pay_1036,cust_010,11200,INR,failed,net_banking,Axis,network_timeout,NT_004,2026-08-09T12:00:00,1,2026-08-13
pay_1037,cust_002,5900,INR,charged,credit_card,ICICI,,,2026-08-10T09:20:00,0,2026-08-10
pay_1038,cust_004,7300,INR,charged,debit_card,Axis,,,2026-08-10T10:35:00,0,2026-08-10
pay_1039,cust_006,4500,INR,failed,upi,Yes,insufficient_funds,IF_005,2026-08-10T11:50:00,1,2026-08-14
pay_1040,cust_009,17100,INR,charged,debit_card,SBI,,,2026-08-10T13:05:00,0,2026-08-10
